stock_code;description;total_revenue;total_units;avg_discount;promo_revenue
20702;PINK PADDED MOBILE;577,79;  135;-0,0221;0,00
23324;RUSTIC STRAWBERRY JAM POT LARGE;577,48;  279;-0,0749;88,80
22260;FELT EGG COSY BLUE RABBIT;577,44;  552;-0,5010;0,00
84352;SILVER CHRISTMAS TREE BAUBLE STAND;577,35;   34;-0,0335;119,60
21264;WHITE GOOSE FEATHER TREE 60CM;575,55;  285;-0,2072;0,00
22820;GIFT BAG BIRTHDAY;575,42;  940;0,0558;70,56
23016;GLASS TWIST BON BON JAR;575,25;   74;-0,1101;166,78
23125;6PC WOOD PLATE SET DISPOSABLE;574,88;  459;0,2223;444,50
22337;ANGEL DECORATION PAINTED ZINC;574,54;  912;-0,1241;171,60
21675;BUTTERFLIES STICKERS;573,36;  634;-0,3366;58,31
21468;BUTTERFLY CROCHET FOOD COVER;572,23;  148;-0,0695;62,51
21277;FRENCH STYLE EMBOSSED HEART CABINET;571,43;   26;-0,0139;68,85
85130D;BEADED CRYSTAL HEART PINK LARGE;569,29;  565;-0,9009;0,00
21251;DINOSAUR HEIGHT CHART STICKER SET;568,98;  182;-0,2146;0,00
23069;EDWARDIAN PHOTO FRAME;568,71;   90;-0,0301;0,00
85161;ACRYLIC GEOMETRIC LAMP;568,65;   35;0,0529;303,43
23219;LAUREL STAR ANTIQUE SILVER;568,60;  430;-0,2221;49,92
84796A;PINK HAWAIIAN PICNIC HAMPER FOR 2;568,13;   61;-0,1251;0,00
23381;PACK OF 12 VINTAGE LEAF TISSUES;567,95; 1509;-0,2153;138,24
21899;GARAGE KEY FOB;567,76;  780;-0,3920;0,00
23413;VINTAGE COFFEE GRINDER BOX;566,18;  110;-0,2560;99,60
21488;RED WHITE SCARF  HOT WATER BOTTLE;566,17;   69;0,1014;15,80
22482;BLUE TEA TOWEL CLASSIC DESIGN;565,86;  478;-0,0125;203,52
22272;FELTCRAFT DOLL MARIA;564,92;  196;-0,0382;122,40
85019A;ROMANTIC IMAGES NOTEBOOK SET;564,35;  414;-0,6267;0,00
23272;TREE T-LIGHT HOLDER WILLIE WINKIE;562,22;  364;-0,1617;24,57
84569D;PACK 6 HEART/ICE-CREAM PATCHES;561,87;  468;-0,0983;137,00
21219;SET/4 BADGES BALLOON GIRL;561,84;  448;-0,1988;76,47
85032D;YULETIDE IMAGES GIFT WRAP SET;561,34;  687;-0,7828;0,00
71279;PINK GLASS CANDLEHOLDER;561,32;  176;-0,2403;61,20
22286;DECORATION , WOBBLY RABBIT , METAL;560,93;  319;-0,2745;0,00
84912A;PINK ROSE WASHBAG;560,62;  156;0,0597;174,37
85016;SET OF 6 VINTAGE NOTELETS KIT;560,11;  563;0,2076;298,35
85163A;WHITE BAROQUE WALL CLOCK;559,00;   66;0,1211;330,58
21849;SILVER DIAMANTE PEN IN GIFT BOX;558,83;  175;0,2282;259,98
85025B;EAU DE NILE HEART SHAPE PHOTO FRAME;558,42;  331;-0,4057;208,80
23451;SQUARE MINI PORTRAIT FRAME;558,12;  278;-0,1628;19,80
21194;PINK  HONEYCOMB PAPER FAN;558,07;  499;-1,5906;0,00
90062;CARNIVAL BRACELET;558,03;   44;0,0073;0,00
21662;VINTAGE GLASS COFFEE CADDY;557,30;   86;-0,3717;261,60
85187;S/12 MINI RABBIT EASTER;556,53;  337;-0,1366;139,20
23074;EMBOSSED HEART TRINKET BOX;555,59;  250;-0,2558;96,66
84951B;SET OF 4 BLACK LOVEBIRD COASTERS;554,78;  451;0,2588;418,32
85184C;SET 4 VALENTINE DECOUPAGE HEART BOX;554,60;  172;-0,2941;61,20
17129F;BLUE GLASS GEMS IN BAG;553,83;  588;0,1595;283,10
84951A;SET OF 4 PISTACHIO LOVEBIRD COASTER;553,80;  476;0,2631;392,44
79030G;TUMBLER NEW ENGLAND;553,53; 1267;-2,5641;0,00
35599D;PINK AND WHITE CHRISTMAS TREE 120CM;553,07;  201;-1,0600;0,00
23473;WOODLAND SMALL RED FELT HEART;552,85;  679;-0,1457;138,24
47563A;RETRO LONGBOARD IRONING BOARD COVER;552,76;  286;0,2185;247,50
21638;ASSORTED TUTTI FRUTTI NOTEBOOK;551,96;  249;-0,2168;0,00
35965;FOLKART HEART NAPKIN RINGS;551,13;  366;-2,0259;42,90
35599B;BLACK CHRISTMAS TREE 120CM;551,13;  217;-0,7742;0,00
17012D;ORIGAMI ROSE INCENSE/CANDLE SET;550,64;  463;0,2600;311,95
22903;CALENDAR FAMILY FAVOURITES;550,60;  193;-0,2332;7,50
21397;BLUE POLKADOT EGG CUP;550,43; 1075;-1,7191;0,00
23456;MEDIUM PARLOUR PICTURE FRAME;550,00;  136;0,0057;135,00
22261;FELT EGG COSY WHITE RABBIT;549,81;  585;-0,3182;0,00
22584;PACK OF 6 PANETTONE GIFT BOXES;548,63;  233;-0,2527;302,40
23549;WRAP BIRD GARDEN;548,10; 1305;0,0000;0,00
21128;GOLD FISHING GNOME;546,60;   68;0,1959;271,70
85107;CUT GLASS T-LIGHT HOLDER OCTAGON;546,49;  251;0,0130;202,80
84598;BOYS ALPHABET IRON ON PATCHES;546,04; 1975;0,0835;284,13
22023;EMPIRE BIRTHDAY CARD;543,76; 1218;-0,4254;0,00
22513;DOORSTOP FOOTBALL DESIGN;543,65;  153;-0,2409;41,87
23398;HANGING HEART BONHEUR;538,75;  610;-0,2207;17,28
22496;SET OF 2 ROUND TINS DUTCH CHEESE;538,06;  254;-0,0264;87,69
84625C;BLUE NEW BAROQUE CANDLESTICK CANDLE;536,41;  449;-1,8057;0,00
22717;CARD DOG AND BALL;535,78; 1229;-0,3219;25,92
82613D;METAL SIGN CUPCAKE SINGLE HOOK;535,49;  697;-0,0944;307,62
85088;CANDY SPOT HAND BAG;534,83;  259;-0,1367;168,44
23660;HENRIETTA HEN MUG;534,66;  306;-0,3579;0,00
85114c;RED ENCHANTED FOREST PLACEMAT;534,66;  162;-0,0024;0,00
22521;CHILDS GARDEN TROWEL PINK;533,16;  618;-0,0757;0,00
22543;MINI JIGSAW BAKE A CAKE;531,64; 1455;-0,1884;370,03
17012F;ORIGAMI SANDLEWOOD INCENSE/CAND SET;530,60;  448;0,2694;289,95
35241;ENAMEL BLUE RIM BISCUIT BIN;530,49;  103;-0,1944;178,02
21801;CHRISTMAS TREE DECORATION WITH BELL;530,26; 1251;-0,0070;0,00
21270;ANTIQUE CREAM CUTLERY CUPBOARD;530,19;   50;0,1102;276,81
23139;SINGLE WIRE HOOK PINK HEART;530,15;  415;-0,1085;339,98
75131;METAL TUBE CHIME ON BAMBOO;529,21;  490;-0,0671;482,00
22709;WRAP WEDDING DAY;528,50; 1325;0,0085;140,00
21059;PARTY INVITES DINOSAURS;528,23;  611;-0,0861;0,00
23060;HEART BEADED TRELLIS DECORATION;528,17;  249;-0,0672;0,00
22707;WRAP MONSTER FUN;527,94; 1257;0,0000;0,00
22275;WEEKEND BAG VINTAGE ROSE PAISLEY;527,85;   69;0,0000;0,00
22248;DECORATION  PINK CHICK MAGIC GARDEN;525,94;  594;-0,2219;81,50
85104;SILVER GLASS T-LIGHT SET;525,75;  201;-0,0941;384,70
85135B;BLUE DRAGONFLY HELICOPTER;524,55;   65;-0,0128;0,00
20785;FUSCHIA RETRO BAR STOOL;523,30;   14;0,0200;323,55
22861;EASTER TIN CHICKS IN GARDEN;522,93;  305;-0,2187;0,00
85025C;PINK HEART SHAPE PHOTO FRAME;522,56;  322;-0,2415;218,95
23537;WALL ART I LOVE LONDON;521,73;   99;-0,4273;199,20
23336;EGG FRYING PAN PINK;521,33;  226;-0,2492;0,00
85131B;BEADED CRYSTAL HEART GREEN ON STICK;521,11;  623;-0,0094;0,00
84816;DANISH ROSE BEDSIDE CABINET;519,35;   13;0,0000;0,00
84313B;BLUE TV TRAY TABLE;518,61;  127;-0,0334;175,80
20761;BLUE PAISLEY SKETCHBOOK;517,22;  123;-0,1812;0,00
21455;PAINTED YELLOW WOODEN DAISY;516,79;  612;-0,0320;0,00
21711;FOLDING UMBRELLA WHITE/RED POLKADOT;513,02;  104;-0,0601;76,91
22216;T-LIGHT HOLDER WHITE LACE;512,93;  588;0,3142;271,30
23136;IVORY WIRE SWEETHEART LETTER TRAY;511,89;  135;-0,0758;65,80
22280;POCKET BAG PINK PAISELY BROWN SPOT;510,84;  469;-0,5592;0,00
21926;RED/CREAM STRIPE CUSHION COVER;509,90;  414;0,0025;42,40
21654;RIDGED GLASS FINGER BOWL;509,36;  986;-1,4160;0,00
72819;CUPID DESIGN SCENTED CANDLES;509,07;  225;-0,1456;130,40
84520B;PACK 20 ENGLISH ROSE PAPER NAPKINS;508,37;  554;-0,2963;61,44
23527;WALL ART ANIMALS AND NATURE;508,34;  154;-0,1069;231,00
20681;PINK POLKADOT CHILDRENS UMBRELLA;506,96;  140;-0,2941;0,00
21067;VINTAGE RED TEATIME MUG;506,65;  319;-0,4208;24,38
22785;SQUARECUSHION COVER PINK UNION FLAG;506,34;   72;-0,1053;23,80
23043;PAPER LANTERN 9 POINT HOLLY STAR L;506,01;   75;-0,1987;0,00
82616B;FRAPPUCINO SCARF KNITTING KIT;505,69;  344;-0,5656;0,00
20998;ROSE DU SUD OVEN GLOVE;505,20;  185;0,0975;79,79
23021;GLASS BONNE JAM JAR;504,97;  121;-0,0678;90,00
22127;PARTY CONES CARNIVAL ASSORTED;504,88;  404;-0,7823;127,20
22286;DECORATION WOBBLY RABBIT METAL;504,46;  830;0,2571;344,57
84687;BEACH HUT SHELF W 3 DRAWERS;504,43;   81;-0,3116;198,00
84616;SILVER ROCCOCO CHANDELIER;504,32;   14;-0,3154;0,00
21925;UNION STRIPE CUSHION COVER;503,75;  403;0,0000;0,00
84509C;SET OF 4 POLKADOT PLACEMATS;502,69;  131;-0,1043;202,89
23560;SET OF 6 RIBBONS COUNTRY STYLE;502,07;  173;-0,2179;149,40
21710;FOLDING UMBRELLA PINKWHITE POLKADOT;501,98;  107;0,0257;120,23
82613B;METAL SIGN,CUPCAKE SINGLE HOOK;501,49;  584;-0,1930;230,36
82616C;MIDNIGHT GLAMOUR SCARF KNITTING KIT;501,44;  324;-0,5379;0,00
85231G;ORANGE SCENTED SET/9 T-LIGHTS;501,27;  594;-0,1676;90,72
23117;POPPY FIELDS CHOPPING BOARD;501,23;   93;-0,1311;0,00
20766;GARDEN PATH SKETCHBOOK;501,07;  124;-0,1807;47,20
22181;SNOWSTORM PHOTO FRAME FRIDGE MAGNET;500,91;  591;-0,1763;69,12
21972;SET OF 36 DINOSAUR PAPER DOILIES;499,08;  335;-0,1647;35,00
22050;PINK PAISLEY ROSE GIFT WRAP;498,50; 1225;0,0048;68,00
22516;CHILDS GARDEN RAKE BLUE;496,99;  207;-0,2974;66,60
84970s;HANGING HEART ZINC T-LIGHT HOLDER;496,49;  238;-0,0036;0,00
22511;RETROSPOT BABUSHKA DOORSTOP;495,20;  251;0,2528;213,99
21358;TOAST ITS - HAPPY BIRTHDAY;494,54;  412;0,0546;62,25
21850;BLUE  DIAMANTE PEN IN GIFT BOX;493,08;  130;0,1286;294,72
35598D;PINK/WHITE CHRISTMAS TREE 60CM;493,01;  684;-1,3000;0,00
46776C;WOVEN FROST CUSHION COVER;492,79;  117;-0,0222;0,00
21632;VINTAGE PINK DECORATIVE PARASOL;489,74;   88;0,0319;237,00
85194S;HANGING SPRING FLOWER EGG SMALL;489,17; 1197;0,0098;127,30
35809A;ENAMEL PINK TEA CONTAINER;488,89;  421;-1,3020;0,00
21202;DOLLY HONEYCOMB GARLAND;487,11;  475;-0,0597;218,40
21867;PINK UNION JACK  LUGGAGE TAG;486,50;  353;-0,2517;43,43
21454;PAINTED PINK RABBIT;486,01;  573;-0,0359;0,00
84820;DANISH ROSE TRINKET TRAYS;484,63;  261;0,3645;288,28
17012C;ORIGAMI LAVENDER INCENSE/CANDL SET;484,35;  421;-1,0903;12,00
23218;LAUREL STAR ANTIQUE GOLD;483,03;  379;-0,2578;49,92
21634;ASSORTED MINI MADRAS NOTEBOOK;481,95;  976;-1,1657;0,00
22638;SET OF 4 NAPKIN CHARMS CROWNS;481,88;  300;0,1068;191,78
22230;JIGSAW TREE WITH WATERING CAN;480,92; 1048;-1,7149;0,00
21587;COSY HOUR GIANT TUBE MATCHES;480,75;  197;0,0059;100,80
90209C;PINK ENAMEL+GLASS HAIR COMB;480,50;  263;0,0051;357,00
21741;COSY SLIPPER SHOES LARGE GREEN;480,17;  147;-0,2959;0,00
21507;ELEPHANT BIRTHDAY CARD;479,82; 1122;-0,3021;51,84
23169;CLASSIC GLASS SWEET JAR;479,45;  119;0,0138;135,00
84849B;FAIRY SOAP SOAP HOLDER;478,83;  266;-0,2150;0,00
20803;SMALL PINK GLASS SUNDAE DISH;478,72;  945;-1,8924;0,00
23422;PANTRY HOOK BALLOON WHISK;477,89;  213;-0,3355;0,00
85049F;BABY BOOM RIBBONS;477,34;  378;-0,0319;0,00
21472;LADYBIRD + BEE RAFFIA FOOD COVER;476,41;  123;-0,1093;0,00
23561;SET OF 6 RIBBONS PARTY;476,00;  170;-0,1795;149,40
85093;CANDY SPOT EGG WARMER HARE;475,18;  708;-0,0676;152,49
22184;CAKE STAND VICTORIAN FILIGREE LARGE;471,86;   56;0,0051;0,00
21366;MIRRORED WALL ART PHOTO FRAMES;470,17;   89;0,2894;220,03
84674;FLYING PIG WATERING CAN;469,90;  194;-0,1031;90,00
23521;WALL ART CAT AND BIRD;469,73;  143;0,2359;324,98
20716;PARTY FOOD SHOPPER BAG;469,63;  400;-0,0526;164,93
20707;CRAZY DAISY HEART DECORATION;468,39;  464;-0,3116;0,00
20615;BLUE POLKADOT PASSPORT COVER;466,99;  309;0,3798;280,02
20831;GOLD PHOTO FRAME;466,53;  216;-0,3038;119,04
84917;WHITE HAND TOWEL WITH BUTTERFLY;466,30;  184;-2,1813;0,00
22647;CERAMIC LOVE HEART MONEY BANK;466,18;  732;0,0309;245,70
23379;PACK OF 12 RED APPLE TISSUES;465,36; 1220;-0,3786;138,24
21374;MIRRORED WALL ART SKULLS;463,79;  304;-0,8934;0,00
23455;SMALL PARLOUR PICTURE FRAME;462,45;  165;0,0041;89,64
22517;CHILDS GARDEN RAKE PINK;462,33;  206;-0,1848;66,60
20838;FRENCH LATTICE CUSHION COVER;461,45;  385;-1,2087;0,00
35598B;BLACK CHRISTMAS TREE 60CM;460,64;  558;-1,9705;0,00
21003;ROSE DU SUD CUSHION COVER;460,58;   78;-0,0168;0,00
23691;WRAP KEEP CALM BIRTHDAY;460,50; 1125;0,0040;72,00
22344;PARTY PIZZA DISH PINK POLKADOT;460,38; 1228;0,2602;236,56
21063;PARTY INVITES JAZZ HEARTS;458,31;  528;-0,0968;0,00
21062;PARTY INVITES SPACEMAN;458,23;  539;-0,0088;0,00
23023;RIDGED BONNE JAM JAR T-LIGHT HOLDER;457,62;  286;-0,0646;139,20
21220;SET/4 BADGES DOGS;457,51;  348;-0,2414;63,82
23045;PAPER LANTERN 5 POINT STAR MOON;456,48;  108;-0,0998;0,00
17096;ASSORTED LAQUERED INCENSE HOLDERS;455,98; 2545;-0,4405;359,55
21851;LILAC DIAMANTE PEN IN GIFT BOX;454,99;  141;0,0132;153,61
35004G;SET OF 3 GOLD FLYING DUCKS;454,65;  127;0,1575;226,05
22268;EASTER DECORATION SITTING BUNNY;454,50;  531;-0,2424;103,68
21415;CLAM SHELL SMALL;454,42;  223;-0,2840;29,23
84920;PINK FLOWER FABRIC PONY;453,73;  117;-0,1080;108,57
84916;HAND TOWEL PALE BLUE W FLOWERS;453,39;  223;0,3365;310,59
85169C;EAU DE NIL LOVE BIRD CANDLE;452,86;  429;0,0249;328,21
23509;MINI PLAYING CARDS FUN FAIR;452,72; 1065;-0,1537;21,60
22813;PACK 3 BOXES BIRD PANETTONE;451,84;  204;-0,7523;158,40
21061;PARTY INVITES FOOTBALL;451,70;  488;-0,2410;0,00
21641;ASSORTED TUTTI FRUTTI KEYRING BALL;451,59; 1153;-2,7832;0,00
23548;WRAP MAGIC FOREST;451,50; 1075;0,0000;0,00
48189;DOORMAT FRIENDSHIP;451,11;   27;-0,0049;0,00
84872A;TEATIME FUNKY FLOWER BACKPACK FOR 2;450,08;   40;-0,0535;0,00
20770;ABSTRACT CIRCLE JOURNAL;449,80;  185;-0,0164;75,60
22640;SET OF 4 NAPKIN CHARMS 3 KEYS;449,39;  238;0,0099;136,48
22598;CHRISTMAS MUSICAL ZINC TREE;447,36;  994;-1,2618;0,00
20669;RED HEART LUGGAGE TAG;447,34;  304;-0,3533;33,20
21365;MIRRORED WALL ART STARS;447,09;  363;-1,6306;0,00
84600;NEW BAROQUE JEWELLERY BOX;446,89;   53;-0,1889;97,30
22486;PLASMATRONIC LAMP;446,45;   71;0,0186;165,90
84976;RECTANGULAR SHAPED MIRROR;446,15;  512;-0,8098;0,00
22390;PAPERWEIGHT CHILDHOOD MEMORIES;445,44;  268;-0,0918;100,32
22643;SET OF 4 NAPKIN CHARMS LEAVES;445,17;  240;0,1465;145,01
82613C;METAL SIGN,CUPCAKE SINGLE HOOK;444,63;  538;-0,1553;226,96
21656;RIDGED GLASS POSY VASE;444,58;  219;-0,5228;0,00
21580;RABBIT  DESIGN  COTTON TOTE BAG;444,07;  181;-0,2846;102,69
20903;VINTAGE KEEPSAKE BOX TRAVELOGUE;441,89;   82;-0,3503;0,00
20768;GREEN FERN JOURNAL;441,12;  177;-0,0375;75,60
85111;SILVER GLITTER FLOWER VOTIVE HOLDER;441,07; 1421;-0,6816;0,00
35637A;IVORY STRING CURTAIN WITH POLE;440,62;  170;-1,5590;0,00
20619;TROPICAL PASSPORT COVER;439,65;  262;-0,3109;54,00
21828;EIGHT PIECE SNAKE  SET;439,54;  333;-0,1799;0,00
85130C;BEADED CRYSTAL HEART BLUE  LARGE;438,87;  483;-0,3792;0,00
22545;MINI JIGSAW BUNNIES;436,09; 1143;-0,3352;212,22
84360;TABLE LAMP WHITE SHADE WOOD BASE;434,12;   78;-0,1015;186,00
35653;VINTAGE BEAD NOTEBOOK;433,19;  150;-0,3599;0,00
85168B;BLACK BAROQUE CARRIAGE CLOCK;432,79;   51;-0,0223;0,00
22229;BUNNY WOODEN PAINTED WITH FLOWER;432,46;  568;-0,0973;73,32
23457;LARGE PARLOUR PICTURE FRAME;431,98;   86;-0,0363;54,00
84931B;BLUE SCOTTIE DOG W FLOWER PATTERN;431,73;  180;0,0577;67,64
23058;CHRISTMAS HANGING SNOWFLAKE;430,86;  490;-0,5509;0,00
20705;MRS ROBOT SOFT TOY;428,85;  143;0,3083;220,35
21002;ROSE DU SUD DRAWSTRING BAG;428,66;  125;-0,0333;0,00
21088;SET/6 FRUIT SALAD PAPER CUPS;428,28; 1678;-1,1788;0,00
77101A;UNION FLAG WINDSOCK;428,19;  388;-0,0727;330,72
85071C;"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN";428,00;  683;-2,2095;0,00
21758;VINTAGE SHELLS PRINT;427,46;   50;0,2103;202,40
84658;WHITE STITCHED CUSHION COVER;426,13;   59;-0,0482;0,00
23522;DOG AND BALL WALL ART;425,88;  252;0,2180;391,20
21318;GLASS CHALICE BLUE SMALL;425,08;  696;-2,3962;0,00
20934;SET/3 POT PLANT CANDLES;424,46;   68;-0,3088;0,00
72799F;IVORY PILLAR CANDLE GOLD FLOCK;424,08;  145;-0,0284;61,20
20765;CHRYSANTHEMUM SKETCHBOOK;423,55;  104;-0,1304;0,00
90200E;GREEN SWEETHEART BRACELET;423,41;  103;-0,0091;90,00
90154;LAZER CUT NECKLACE W PASTEL BEADS;421,75;   57;0,0380;377,00
85136C;RED SHARK HELICOPTER;421,18;   52;-0,0163;0,00
20762;GREEN FERN SKETCHBOOK;420,08;  106;-0,1075;0,00
22051;BLUE SCANDINAVIAN PAISLEY WRAP;420,00; 1000;0,0000;0,00
21129;SILVER FISHING GNOME;419,52;   52;-0,3470;47,60
85208;SET/12 FUNKY FELT FLOWER PEG IN BAG;419,01;  224;0,0156;253,52
84970l;SINGLE HEART ZINC T-LIGHT HOLDER;418,98;  201;-0,0043;0,00
90114;SUMMER DAISIES BAG CHARM;417,96;  167;-0,0083;0,00
22405;MONEY BOX POCKET MONEY DESIGN;417,86;  374;-0,1414;37,44
84821;DANISH ROSE DELUXE COASTER;417,35;  947;0,2706;125,80
22214;CANDLE PLATE LACE WHITE;416,60;  193;-0,0324;130,13
21147;JINGLE BELLS TREE DECORATION;415,77;  203;-0,2555;0,00
22108;PING! MICROWAVE PLATE;415,09;  152;0,0557;58,75
21817;GLITTER CHRISTMAS TREE;414,63;  912;-0,4383;0,00
21579;LOLITA  DESIGN  COTTON TOTE BAG;414,22;  178;-0,1384;21,19
21285;RETROSPOT CANDLE  MEDIUM;413,88;  365;-4,5784;0,00
21884;CAKES AND BOWS GIFT  TAPE;413,76; 1166;-0,1715;193,78
90161C;ANT COPPER LIME BOUDICCA BRACELET;412,74;   83;-0,0012;0,00
23459;DOLLY CABINET 2 DRAWERS;412,50;   33;0,0000;0,00
15056p;EDWARDIAN PARASOL PINK;412,48;   33;-0,0032;0,00
23415;HOME SWEET HOME HOOK;412,18;  328;0,1202;40,95
84596E;SMALL LICORICE DES PINK BOWL;412,10;  565;-0,1735;112,98
84806B;WHITE CANDYSTUFT ARTIFICIAL FLOWER;411,56;  308;0,0434;69,36
22447;PIN CUSHION BABUSHKA BLUE;410,81;  137;0,0167;143,16
20830;SILVER PHOTO FRAME;409,83;  136;-0,4493;0,00
85203;HANGING WOOD AND FELT BUTTERFLY;409,41;  896;-0,3491;8,64
16219;HOUSE SHAPE PENCIL SHARPENER;407,72; 3048;0,3769;311,34
22510;GINGHAM BABUSHKA DOORSTOP;406,49;  211;0,3531;173,99
35964;FOLKART CLIP ON STARS;405,25;  786;-0,0090;242,97
23339;EGG FRYING PAN BLUE;405,00;  175;-0,2048;0,00
22406;MONEY BOX KINGS CHOICE DESIGN;403,46;  346;-0,2110;33,54
22134;MINI LADLE LOVE HEART RED;401,60;  866;0,2289;291,21
22287;DECORATION , WOBBLY CHICKEN, METAL;401,02;  236;-0,1903;0,00
23576;SNACK TRAY RED VINTAGE DOILY;400,04;  198;-0,2313;79,20
23429;RED RETRO KITCHEN WALL CLOCK;400,01;   47;-0,0905;0,00
23039;T-LIGHT HOLDER SILVER HEART HANDLE;399,71;  199;-0,2260;19,80
22345;PARTY PIZZA DISH BLUE POLKADOT;399,62; 1120;0,3029;216,98
23466;TUSCAN VILLA DOVECOTE BIRD FEEDER;399,03;   43;-0,2610;60,00
37476;CONDIMENT TRAY 4 BOWLS AND 4 SPOONS;399,02;   37;-0,3856;0,00
21131;GOLD STANDING GNOME;398,02;  106;-0,3188;150,00
84974;S/2 ZINC HEART DESIGN PLANTERS;398,00;   40;0,0000;0,00
18007;ESSENTIAL BALM 3.5g TIN IN ENVELOPE;395,61; 5884;-0,5269;335,16
23484;HEART TRELLIS TRIPLE T-LIGHT HOLDER;395,11;  129;-0,3192;59,76
47421;ASSORTED COLOUR LIZARD SUCTION HOOK;395,10;  999;0,0089;146,88
22256;FELT FARM ANIMAL CHICKEN;394,15;  291;-0,2614;0,00
23661;MILK MAIDS MUG;393,59;  219;-0,3536;0,00
22048;BIRTHDAY BANQUET GIFT WRAP;393,50;  975;0,0060;68,00
20867;PINK ROSE FABRIC MIRROR;393,47;  331;-0,0803;112,57
90200B;BLACK SWEETHEART BRACELET;392,83;   93;0,0106;0,00
23116;VEGETABLE GARDEN CHOPPING BOARD;392,34;   78;-0,2495;149,40
84826;ASSTD DESIGN 3D PAPER STICKERS;391,93; 1165;0,3150;193,88
23150;IVORY SWEETHEART SOAP DISH;390,75;  148;-0,1822;0,00
85232A;SET/3 POLKADOT STACKING TINS;389,55;   78;-0,1362;102,00
21373;MIRRORED WALL ART SNOWFLAKES;389,04;  512;-0,1430;0,00
23337;EGG FRYING PAN MINT;388,75;  180;-0,1000;0,00
35095A;BLUE VICTORIAN FABRIC OVAL BOX;388,57;  925;0,1683;293,82
23103;BELL HEART DECORATION;387,00;  252;0,0135;208,80
21879;HEARTS GIFT TAPE;386,77; 1178;0,0970;207,88
20854;BLUE PATCH PURSE PINK HEART;386,32;  244;-0,0211;129,05
71053;WHITE MOROCCAN METAL LANTERN;385,30;   70;-0,7587;40,68
21881;CUTE CATS TAPE;383,11; 1102;-0,0444;181,22
21197;MULTICOLOUR  CONFETTI IN TUBE;382,96;  284;0,0186;175,13
84919;BLUE CUSHION COVER WITH FLOWER;381,78;   58;-0,1286;0,00
22346;PARTY PIZZA DISH GREEN POLKADOT;381,66; 1037;0,3045;250,41
85179A;GREEN BITTY LIGHT CHAIN;380,79;  193;-0,1485;141,25
21562;HAWAIIAN GRASS SKIRT;380,36;  324;-0,1483;169,60
16045;POPART WOODEN PENCILS ASST;380,00; 8900;-0,0870;0,00
23396;LA JARDIN BOTANIQUE CUSHION COVER;379,28;   88;-0,3237;0,00
46776D;WOVEN SUNSET CUSHION COVER;378,29;   89;-0,0171;0,00
90161B;ANT COPPER TURQ BOUDICCA BRACELET;377,88;   76;-0,0009;0,00
21243;PINK POLKADOT PLATE;377,56;  220;-0,2594;139,20
21051;RIBBONS PURSE;377,20;  192;0,0254;131,69
90160C;TURQ+RED BOUDICCA LARGE BRACELET;377,04;   54;-0,0076;0,00
47367B;PAIR PADDED HANGERS PINK CHECK;376,27;  112;-0,0331;70,80
21284;RETROSPOT CANDLE  SMALL;376,18;  404;0,3826;306,95
17012A;ORIGAMI VANILLA INCENSE/CANDLE SET;375,93;  323;0,2054;209,20
84559A;3D SHEET OF DOG STICKERS;375,61;  397;-0,3484;31,60
21635;MADRAS NOTEBOOK LARGE;374,96;  271;-0,8105;0,00
84663A;GRASS HOPPER WOODEN WALL CLOCK;374,12;  272;-2,7506;0,00
23128;DOLLCRAFT BOY JEAN-PAUL;373,90;   82;0,0135;166,00
20782;CAMOUFLAGE EAR MUFF HEADPHONES;373,57;   54;-0,3592;1,95
21945;STRAWBERRIES  DESIGN FLANNEL;373,34;  358;0,1948;227,31
84915;HAND TOWEL PINK FLOWER AND DAISY;372,33;  217;0,0579;237,50
16011;ANIMAL STICKERS;372,33; 1773;0,0000;0,00
21689;SILVER VANILLA  FLOWER CANDLE POT;369,87;   95;-0,1397;0,00
84563A;PINK & WHITE BREAKFAST TRAY;369,84;   96;-0,5987;0,00
23575;SNACK TRAY PAISLEY PARK;367,35;  179;-0,3243;79,20
22532;MAGIC DRAWING SLATE LEAP FROG;366,75; 1072;-0,0651;155,52
22769;CHALKBOARD KITCHEN ORGANISER;366,73;   11;0,2629;162,65
22265;EASTER DECORATION NATURAL CHICK;366,15;  540;-0,1970;0,00
21000;ROSE DU SUD COSMETICS BAG;365,09;   97;-0,1031;0,00
21320;GLASS CHALICE GREEN  LARGE;364,22;  197;0,4071;309,66
23579;SNACK TRAY I LOVE LONDON;362,65;  171;-0,3282;79,20
21286;RETROSPOT CANDLE  LARGE;362,12;  273;-3,5339;0,00
35957;SMALLFOLKART BAUBLE CHRISTMAS DEC;361,81;  688;0,1381;146,04
21348;PINK SPOTS CHOCOLATE NESTING BOXES;361,56;  140;-0,1220;346,80
23044;PAPER LANTERN 9 POINT HOLLY STAR S;361,04;   86;-0,0434;0,00
16008;SMALL FOLDING SCISSOR(POINTED EDGE);360,71; 2892;-0,1345;19,20
85049e;SCANDINAVIAN REDS RIBBONS;360,71;  109;-0,0015;0,00
84632;DECORATIVE HANGING SHELVING UNIT;359,70;    6;0,0000;0,00
35954;SMALL FOLKART STAR CHRISTMAS DEC;359,60; 1293;-3,4680;0,00
21060;PARTY INVITES BALLOON GIRL;359,29;  405;-0,1137;0,00
84563B;BLUE & WHITE BREAKFAST TRAY;358,10;   98;-0,3350;0,00
